ID;Pays;Institution;Institutions;Equipes;Titre;TypeCoop;Motcle1;Motcle2;Motcle3;Motcle4;Motcle5;Budget;Bailleurs;Debut;Fin;Nb Copublications;PI;Role;StatutGM;Références;Lien;Nbpartenaires;Resume
PTR-494-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;How gastric Helicobacter species have evolved to be the sole colonizer of a unique niche, the stomach in half of the human population;PTR;;;;;;;;01/01/2014;01/01/2016;;Julia CHAMOT-ROOKE;;;PTR-494-2014;;;
PTR-494-2014;Canada;INRS - Centre Armand-Frappier Santé Biotechnologie;Inrs - Centre Armand-Frappier Santé Biotechnologie;;How gastric Helicobacter species have evolved to be the sole colonizer of a unique niche, the stomach in half of the human population;PTR;;;;;;;;01/01/2014;01/01/2016;;Frédéric VEYRIER;;;PTR-494-2014;;;
PTR-496-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Understand the interaction between Leishmania and its host cell to identify new therapeutic pathways;PTR;;;;;;;;01/01/2014;01/01/2016;;Eric PRINA;Coordinateur;;PTR-496-2014;;;
PTR-496-2014;Chine;Institut Pasteur of Shanghai, Chinese Academy of Sciences;Institut Pasteur Of Shanghai, Chinese Academy Of Sciences;;Understand the interaction between Leishmania and its host cell to identify new therapeutic pathways;PTR;;;;;;;;01/01/2014;01/01/2016;;Guangxung ENG;;;PTR-496-2014;;;
PTR-496-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Understand the interaction between Leishmania and its host cell to identify new therapeutic pathways;PTR;;;;;;;;01/01/2014;01/01/2016;;Natalie AULNER / Laurence FIETTE;;;PTR-496-2014;;;
PTR-505-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Unit of Antiviral Strategies;Understand host-hantavirus relationships and pathogenesis for humans and better monitor these viruses;PTR;;;;;;;;01/01/2014;01/01/2016;;Noël TORDO;Coordinateur;;PTR-505-2014;;;
PTR-505-2014;Madagascar;Institut Pasteur de Madagascar;Institut Pasteur De Madagascar;;Understand host-hantavirus relationships and pathogenesis for humans and better monitor these viruses;PTR;;;;;;;;01/01/2014;01/01/2016;;Jean-Michel HERAUD;;;PTR-505-2014;;;
PTR-505-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Production and Purification of Recombinant Proteins Technological Platform;Understand host-hantavirus relationships and pathogenesis for humans and better monitor these viruses;PTR;;;;;;;;01/01/2014;01/01/2016;;Stéphane PETRES;;;PTR-505-2014;;;
PTR-510-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Biomarkers for Detection Test of Pathogenic Bacillus cereus Strains ;PTR;;;;;;;;01/01/2014;01/01/2016;;Dominique CLERMONT;Coordinateur;;PTR-510-2014;;;
PTR-510-2014;France;ANSES (French Agency for Food, Environmental and Occupational Health and Safety);Anses (French Agency For Food, Environmental And Occupational Health And Safety);;Biomarkers for Detection Test of Pathogenic Bacillus cereus Strains ;PTR;;;;;;;;01/01/2014;01/01/2016;;Sabine HERBIN;;;PTR-510-2014;;;
PTR-521-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Cell-Bacteria Interactions Unit;Identification of novel mechanisms controlling bacterial infection by exploring the Listeria model system;PTR;;;;;;;;01/01/2015;01/01/2017;;Javier PIZARRO-CERDA;Coordinateur;;PTR-521-2015;;;
PTR-521-2015;Uruguay;Institut Pasteur de Montevideo;Institut Pasteur De Montevideo;;Identification of novel mechanisms controlling bacterial infection by exploring the Listeria model system;PTR;;;;;;;;01/01/2015;01/01/2017;;Hugo NAYA;;;PTR-521-2015;;;
PTR-521-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Identification of novel mechanisms controlling bacterial infection by exploring the Listeria model system;PTR;;;;;;;;01/01/2015;01/01/2017;;Spencer SHORTE;;;PTR-521-2015;;;
PTR-523-2015;Grèce;Institut Pasteur Hellénique;Institut Pasteur Hellénique;;Understand neurodegenerative processes in humans is a major challenge for science;PTR;;;;;;;;01/01/2015;01/01/2017;;Rebecca MATSAS;Coordinateur;;PTR-523-2015;;;
PTR-523-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Understand neurodegenerative processes in humans is a major challenge for science;PTR;;;;;;;;01/01/2015;01/01/2017;;Chiara ZURZOLO / Pierre-Marie LLEDO;;;PTR-523-2015;;;
PTR-528-2015;Brésil;Fondation Oswaldo Cruz (Fiocruz);Fondation Oswaldo Cruz (Fiocruz);;Risk of Emergence of Urban Yellow Fever in Brazil: Leading role of the Asian tiger mosquito;PTR;;;;;;;;01/01/2015;01/01/2017;;Ricardo LOURENCO DE OLIVEIRA;Coordinateur;;PTR-528-2015;;;
PTR-528-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Risk of Emergence of Urban Yellow Fever in Brazil: Leading role of the Asian tiger mosquito;PTR;;;;;;;;01/01/2015;01/01/2017;;Anna-Bella FAILLOUX;;;PTR-528-2015;;;
PTR-528-2015;France;Institut Pasteur de la Guyane;Institut Pasteur De La Guyane;;Risk of Emergence of Urban Yellow Fever in Brazil: Leading role of the Asian tiger mosquito;PTR;;;;;;;;01/01/2015;01/01/2017;;Séverine MATHEUS / Vincent LACOST;;;PTR-528-2015;;;
PTR-529-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Characterization of Aspergillus fumigatus proteins should enable the selection of potential candidates for biotechnological applications;PTR;;;;;;;;01/01/2015;01/01/2017;;Anne BEAUVAIS;Coordinateur;;PTR-529-2015;;;
PTR-529-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Characterization of Aspergillus fumigatus proteins should enable the selection of potential candidates for biotechnological applications;PTR;;;;;;;;01/01/2015;01/01/2017;;Inaki GUIJARRO;;;PTR-529-2015;;;
PTR-529-2015;France;Institut Pasteur de Lille;Institut Pasteur De Lille;;Characterization of Aspergillus fumigatus proteins should enable the selection of potential candidates for biotechnological applications;PTR;;;;;;;;01/01/2015;01/01/2017;;Frank LAFONT;;;PTR-529-2015;;;
PTR-535-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Decipher Plasmodium falciparum mechanism of resistance to Artemisinin;PTR;;;;;;;;01/01/2015;01/01/2017;;Jean-Christophe BARALE;Coordinateur;;PTR-535-2015;;;
PTR-535-2015;Madagascar;Institut Pasteur de Madagascar;Institut Pasteur De Madagascar;;Decipher Plasmodium falciparum mechanism of resistance to Artemisinin;PTR;;;;;;;;01/01/2015;01/01/2017;;Inès VIGAN-WOMAS;;;PTR-535-2015;;;
PTR-535-2015;Cambodge;Institut Pasteur du Cambodge;Institut Pasteur Du Cambodge;;Decipher Plasmodium falciparum mechanism of resistance to Artemisinin;PTR;;;;;;;;01/01/2015;01/01/2017;;Didier MENARD;;;PTR-535-2015;;;
PTR-535-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Antibody Engineering Core Facility;Decipher Plasmodium falciparum mechanism of resistance to Artemisinin;PTR;;;;;;;;01/01/2015;01/01/2017;;Pierre LAFAYE;;;PTR-535-2015;;;
PTR-535-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Production of Recombinant Proteins Core Facility;Decipher Plasmodium falciparum mechanism of resistance to Artemisinin;PTR;;;;;;;;01/01/2015;01/01/2017;;Jacques BELLALOU / Stéphane PETRES;;;PTR-535-2015;;;
PTR-535-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Crystallography Core Facility;Decipher Plasmodium falciparum mechanism of resistance to Artemisinin;PTR;;;;;;;;01/01/2015;01/01/2017;;Ahmed HAOUZ;;;PTR-535-2015;;;
PTR-535-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Proteomic Core Facility;Decipher Plasmodium falciparum mechanism of resistance to Artemisinin;PTR;;;;;;;;01/01/2015;01/01/2017;;Marinette MATONDO-BOUZANDA;;;PTR-535-2015;;;
PTR-539-2015;Corée;Institut Pasteur de Corée;Institut Pasteur De Corée;;Understand the interaction between Leishmania and the host cell to identify new drugs;PTR;;;;;;;;01/01/2015;01/01/2017;;Joo Hwan NO;Coordinateur;;PTR-539-2015;;;
PTR-539-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Understand the interaction between Leishmania and the host cell to identify new drugs;PTR;;;;;;;;01/01/2015;01/01/2017;;Gérald SPAETH;;;PTR-539-2015;;;
PTR-539-2015;Corée;Institut Pasteur de Corée;Institut Pasteur De Corée;;Understand the interaction between Leishmania and the host cell to identify new drugs;PTR;;;;;;;;01/01/2015;01/01/2017;;David SHUM;;;PTR-539-2015;;;
PTR-540-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;The microbiota: the forgotten organ !;PTR;;;;;;;;01/01/2015;01/01/2017;;Jean-Marc GHIGO;Coordinateur;;PTR-540-2015;;;
PTR-540-2015;Italie;Institut Pasteur d’Italie - Fondation Cenci Bolognetti;Institut Pasteur D’Italie - Fondation Cenci Bolognetti;;The microbiota: the forgotten organ !;PTR;;;;;;;;01/01/2015;01/01/2017;;Daniela DE BIASE;;;PTR-540-2015;;;
PTR-542-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Genetics and Genomics of Insect Vector Unit;Impact of Plasmodium/Trypanosoma co-infections in Anopheles mosquitoes on their capacity to transmit the malaria parasites;PTR;;;;;;;;01/01/2015;01/01/2017;;Christian MITRI;Coordinateur;;PTR-542-2015;;;
PTR-542-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Impact of Plasmodium/Trypanosoma co-infections in Anopheles mosquitoes on their capacity to transmit the malaria parasites;PTR;;;;;;;;01/01/2015;01/01/2017;;Brice ROTUREAU;;;PTR-542-2015;;;
PTR-542-2015;Sénégal;Institut Pasteur de Dakar;Institut Pasteur De Dakar;;Impact of Plasmodium/Trypanosoma co-infections in Anopheles mosquitoes on their capacity to transmit the malaria parasites;PTR;;;;;;;;01/01/2015;01/01/2017;;Malwouth DIALLO;;;PTR-542-2015;;;
PTR-546-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Understand interactions between a protein of Influenza virus and host proteins to able to anticipate new pandemics;PTR;;;;;;;;01/01/2015;01/01/2017;;Caroline DEMERET;Coordinateur;;PTR-546-2015;;;
PTR-546-2015;Hong-Kong;HKU-Pasteur Research Pole;Hku-Pasteur Research Pole;;Understand interactions between a protein of Influenza virus and host proteins to able to anticipate new pandemics;PTR;;;;;;;;01/01/2015;01/01/2017;;Sumana SANYAL;;;PTR-546-2015;;;
PTR-558-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Biology of Gram-Positive Pathogens Unit;Understand the origin of resistant bacterial infections in newborns in low-income countries to better fight;PTR;;;;;;;;01/01/2015;01/01/2017;;Philippe GLASER;Coordinateur;;PTR-558-2015;;;
PTR-558-2015;Madagascar;Institut Pasteur de Madagascar;Institut Pasteur De Madagascar;;Understand the origin of resistant bacterial infections in newborns in low-income countries to better fight;PTR;;;;;;;;01/01/2015;01/01/2017;;Jean-Marc COLLARD / Perlinot HERINDRAINY;;;PTR-558-2015;;;
PTR-558-2015;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Understand the origin of resistant bacterial infections in newborns in low-income countries to better fight;PTR;;;;;;;;01/01/2015;01/01/2017;;Lulla OPATOWSKI;;;PTR-558-2015;;;
PTR-08-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Molecular Microbial Pathogenesis Unit;Understanding the relationship between malnutrition / Pediatric Environmental Enteropathy and the immune system in low income countries to develop prevention strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Philippe SANSONETTI / Pascale VONASCH;Coordinateur;;PTR-08-2016;;;
PTR-08-2016;Madagascar;Institut Pasteur de Madagascar;Institut Pasteur De Madagascar;;Understanding the relationship between malnutrition / Pediatric Environmental Enteropathy and the immune system in low income countries to develop prevention strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Inès VIGAN-WOMAS;;;PTR-08-2016;;;
PTR-08-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Understanding the relationship between malnutrition / Pediatric Environmental Enteropathy and the immune system in low income countries to develop prevention strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Matthew ALBERT;;;PTR-08-2016;;;
PTR-10-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Environment and infectious Risks Laboratry;Better understanding host/virus interactions in order to develop therapeutic strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Nathalie PARDIGON;Coordinateur;;PTR-10-2016;;;
PTR-10-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Better understanding host/virus interactions in order to develop therapeutic strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Nicolas WOLFF / Yves JACOB;;;PTR-10-2016;;;
PTR-10-2016;Chine;Institut Pasteur of Shanghai, Chinese Academy of Sciences;Institut Pasteur Of Shanghai, Chinese Academy Of Sciences;;Better understanding host/virus interactions in order to develop therapeutic strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Dimitri LAVILETTE;;;PTR-10-2016;;;
PTR-18-2016;France;Institut Pasteur de Lille;Institut Pasteur De Lille;;Better understanding bacteria-host interactions in allergic asthma to prevent it and treat it;PTR;;;;;;;;01/01/2016;01/01/2018;;Anne TSICOPOULOS;Coordinateur;;PTR-18-2016;;;
PTR-18-2016;France;Institut Pasteur de Lille;Institut Pasteur De Lille;;Better understanding bacteria-host interactions in allergic asthma to prevent it and treat it;PTR;;;;;;;;01/01/2016;01/01/2018;;Mathias CHAMAILLARD;;;PTR-18-2016;;;
PTR-18-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Better understanding bacteria-host interactions in allergic asthma to prevent it and treat it;PTR;;;;;;;;01/01/2016;01/01/2018;;Ivo GOMPERTS-BONECA;;;PTR-18-2016;;;
PTR-20-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Molecular Virology and Vaccinology Unit;Better understanding of the mechanism responsible for chronic Hepatitis B to better diagnose and treat;PTR;;;;;;;;01/01/2016;01/01/2018;;Maryline BOURGINE;Coordinateur;;PTR-20-2016;;;
PTR-20-2016;Italie;Institut Pasteur d’Italie - Fondation Cenci Bolognetti;Institut Pasteur D’Italie - Fondation Cenci Bolognetti;;Better understanding of the mechanism responsible for chronic Hepatitis B to better diagnose and treat;PTR;;;;;;;;01/01/2016;01/01/2018;;Silvia PICONESE;;;PTR-20-2016;;;
PTR-20-2016;Chine;Institut Pasteur of Shanghai, Chinese Academy of Sciences;Institut Pasteur Of Shanghai, Chinese Academy Of Sciences;;Better understanding of the mechanism responsible for chronic Hepatitis B to better diagnose and treat;PTR;;;;;;;;01/01/2016;01/01/2018;;Yu WEI;;;PTR-20-2016;;;
PTR-22-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Better understanding of the invasive capabilities of bacteria in order to develop new drugs and assist in diagnosis;PTR;;;;;;;;01/01/2016;01/01/2018;;Nathalie SAUVONNET;Coordinateur;;PTR-22-2016;;;
PTR-22-2016;France;Institut Pasteur de Lille;Institut Pasteur De Lille;;Better understanding of the invasive capabilities of bacteria in order to develop new drugs and assist in diagnosis;PTR;;;;;;;;01/01/2016;01/01/2018;;Priscille BRODIN;;;PTR-22-2016;;;
PTR-24-2016;Italie;Institut Pasteur d’Italie - Fondation Cenci Bolognetti;Institut Pasteur D’Italie - Fondation Cenci Bolognetti;Laboratory of Molecular Microbiology;To better understand the evolution of pathogenic bacteria in order to develop new therapeutic strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Bianca COLONNA;Coordinateur;;PTR-24-2016;;;
PTR-24-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;To better understand the evolution of pathogenic bacteria in order to develop new therapeutic strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Didier MAZEL;;;PTR-24-2016;;;
PTR-26-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Aspergillus Unit;Study Aspergillosis in Cambodia to investigate the impact of this pathogen in East Asia;PTR;;;;;;;;01/01/2016;01/01/2018;;Jean-Paul LATGE;Coordinateur;;PTR-26-2016;;;
PTR-26-2016;Cambodge;Institut Pasteur du Cambodge;Institut Pasteur Du Cambodge;;Study Aspergillosis in Cambodia to investigate the impact of this pathogen in East Asia;PTR;;;;;;;;01/01/2016;01/01/2018;;Alexanddra KERLEGUER;;;PTR-26-2016;;;
PTR-39-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Molecular Biology of Gene in Extremophiles Unit;Study the Negativicutes to better understand the involvement of a poorly characterized component of the microbiome in human health;PTR;;;;;;;;01/01/2016;01/01/2018;;Simonetta GRIBALDO;Coordinateur;;PTR-39-2016;;;
PTR-39-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Study the Negativicutes to better understand the involvement of a poorly characterized component of the microbiome in human health;PTR;;;;;;;;01/01/2016;01/01/2018;;Christophe BELOIN;;;PTR-39-2016;;;
PTR-39-2016;Italie;Institut Pasteur d’Italie - Fondation Cenci Bolognetti;Institut Pasteur D’Italie - Fondation Cenci Bolognetti;;Study the Negativicutes to better understand the involvement of a poorly characterized component of the microbiome in human health;PTR;;;;;;;;01/01/2016;01/01/2018;;Maria L.BERNARDINI;;;PTR-39-2016;;;
PTR-35-2016;Sénégal;Institut Pasteur de Dakar;Institut Pasteur De Dakar;Immunology Unit;A better understanding of the immune system for improved patient care;PTR;;;;;;;;01/01/2016;01/01/2018;;Aissatou TOURÉ;Coordinateur;;PTR-35-2016;;;
PTR-35-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Immunobiology of Dendritic Cells Unit;A better understanding of the immune system for improved patient care;PTR;;;;;;;;01/01/2016;01/01/2018;;Darragh DUFFY;Coordinateur;;PTR-35-2016;;;
PTR-35-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;A better understanding of the immune system for improved patient care;PTR;;;;;;;;01/01/2016;01/01/2018;;Milena HASAN / Anavaj AKUNTABHAI / Magnus FONTES / Alexandre ALANIO;;;PTR-35-2016;;;
PTR-35-2016;Sénégal;Institut Pasteur de Dakar;Institut Pasteur De Dakar;;A better understanding of the immune system for improved patient care;PTR;;;;;;;;01/01/2016;01/01/2018;;Cheikh LOUCOUBAR / Muriel VRAY;;;PTR-35-2016;;;
PTR-43-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Biochemistry and Macromolecular Interactions Unit;Characterize the role of ExoY, virulence factor, in Pseudomonas aeruginosa infections to identify therapeutic strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Undine MECHOLD;Coordinateur;;PTR-43-2016;;;
PTR-43-2016;Bulgarie;Institut de Microbiologie Stephan Angeloff;Institut De Microbiologie Stephan Angeloff;;Characterize the role of ExoY, virulence factor, in Pseudomonas aeruginosa infections to identify therapeutic strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Stoyanka STOITSOVA;;;PTR-43-2016;;;
PTR-43-2016;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Characterize the role of ExoY, virulence factor, in Pseudomonas aeruginosa infections to identify therapeutic strategies;PTR;;;;;;;;01/01/2016;01/01/2018;;Lhousseine TOUQUI;;;PTR-43-2016;;;
PTR-03-2017;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Channel Receptors Unit;Better knowledge of nAChRs and identification of new ligands for therapeutic purposes;PTR;;;;;;;;01/01/2017;01/01/2019;;Pierre-Jean CORRINGER;Coordinateur;;PTR-03-2017;;;
PTR-03-2017;Tunisie;Institut Pasteur de Tunis;Institut Pasteur De Tunis;;Better knowledge of nAChRs and identification of new ligands for therapeutic purposes;PTR;;;;;;;;01/01/2017;01/01/2019;;Rym BENKHALIFA;;;PTR-03-2017;;;
PTR-03-2017;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Antibody Engineering Platform;Better knowledge of nAChRs and identification of new ligands for therapeutic purposes;PTR;;;;;;;;01/01/2017;01/01/2019;;Pierre LAFAYE;;;PTR-03-2017;;;
PTR-03-2017;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Better knowledge of nAChRs and identification of new ligands for therapeutic purposes;PTR;;;;;;;;01/01/2017;01/01/2019;;Uwe MASKOS;;;PTR-03-2017;;;
PTR-24-2017;Italie;Institut Pasteur d’Italie - Fondation Cenci Bolognetti;Institut Pasteur D’Italie - Fondation Cenci Bolognetti;Department of Biology and Biotechnology C. Darwin;Understand how the ubiquitination regulates functions of HP1, a protein involved in ageing and several pathological conditions including cancer;PTR;;;;;;;;01/01/2017;01/01/2019;;Giovanni CENCI;Coordinateur;;PTR-24-2017;;;
PTR-24-2017;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Understand how the ubiquitination regulates functions of HP1, a protein involved in ageing and several pathological conditions including cancer;PTR;;;;;;;;01/01/2017;01/01/2019;;Christian MUCHARDT;;;PTR-24-2017;;;
PTR-30-2017;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Biology of Spirochetes Unit;Better understanding of genetic epidemiology and pathogen evolution of Leptospira will improve diagnostic and prevention;PTR;;;;;;;;01/01/2017;01/01/2019;;Mathieu PICARDEAU;Coordinateur;;PTR-30-2017;;;
PTR-30-2017;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Better understanding of genetic epidemiology and pathogen evolution of Leptospira will improve diagnostic and prevention;PTR;;;;;;;;01/01/2017;01/01/2019;;Julien GUGLIELMINI;;;PTR-30-2017;;;
PTR-30-2017;Canada;INRS - Centre Armand-Frappier Santé Biotechnologie;Inrs - Centre Armand-Frappier Santé Biotechnologie;;Better understanding of genetic epidemiology and pathogen evolution of Leptospira will improve diagnostic and prevention;PTR;;;;;;;;01/01/2017;01/01/2019;;Frédéric VEYRIER;;;PTR-30-2017;;;
PTR-30-2017;France;Institut Pasteur de Nouvelle-Calédonie;Institut Pasteur De Nouvelle-Calédonie;;Better understanding of genetic epidemiology and pathogen evolution of Leptospira will improve diagnostic and prevention;PTR;;;;;;;;01/01/2017;01/01/2019;;Cyrille GOARANT;;;PTR-30-2017;;;
PTR-30-2017;Russie;Institut Pasteur de Saint-Pétersbourg;Institut Pasteur De Saint-Pétersbourg;;Better understanding of genetic epidemiology and pathogen evolution of Leptospira will improve diagnostic and prevention;PTR;;;;;;;;01/01/2017;01/01/2019;;Nikolay TOKAREVICH;;;PTR-30-2017;;;
PTR-30-2017;Uruguay;Institut Pasteur de Montevideo;Institut Pasteur De Montevideo;;Better understanding of genetic epidemiology and pathogen evolution of Leptospira will improve diagnostic and prevention;PTR;;;;;;;;01/01/2017;01/01/2019;;Alejandro BUSCHIAZZO;;;PTR-30-2017;;;
PTR-30-2017;Algérie;Institut Pasteur d'Algérie;Institut Pasteur D'Algérie;;Better understanding of genetic epidemiology and pathogen evolution of Leptospira will improve diagnostic and prevention;PTR;;;;;;;;01/01/2017;01/01/2019;;Anissa Amara KORBA;;;PTR-30-2017;;;
